Key,Issue Type,Parent,Summary,Parent Issue,Status,Assignee,Sprint,Start date,Inferred start date,Due date,Inferred due date,Issue color
SNEST-25,Story,SNEST-3,"User Story 2.6: As a shopper, I have to be able to see the category on product cards in order to know which section the product belongs to.",Epic 2: Product Listing and Details,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-26,Story,SNEST-3,"User Story 2.7: As a shopper, I have to be able to see product images in order to know what the product looks like.",Epic 2: Product Listing and Details,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-27,Story,SNEST-3,"User Story 2.8: As a shopper, I have to be able to go back to the product listing in order to keep browsing after viewing details.",Epic 2: Product Listing and Details,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-28,Story,SNEST-3,"User Story 2.9: As a shopper, I have to be able to see the product price clearly in order to know how much it costs.",Epic 2: Product Listing and Details,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-29,Story,SNEST-3,"User Story 2.10: As a shopper, I have to be able to see a message if no products are found in a category in order to know there are no items.",Epic 2: Product Listing and Details,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-4,Epic,,Epic 3:Cart and Session Management,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,green
SNEST-31,Story,SNEST-4,"User Story 3.1: As a shopper, I have to be able to add products to my cart in order to buy them later.",Epic 3:Cart and Session Management,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-32,Story,SNEST-4,"User Story 3.2: As a registered user, I have to be able to see my login status in order to know if I’m signed in.",Epic 3:Cart and Session Management,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-33,Story,SNEST-4,"User Story 3.3: As a shopper, I have to be able to log in or sign up in order to use my account.",Epic 3:Cart and Session Management,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-34,Story,SNEST-4,"User Story 3.4: As a shopper, I have to be able to view my cart in order to check items before buying.",Epic 3:Cart and Session Management,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-35,Story,SNEST-4,"User Story 3.5: As a shopper, I have to be able to remove items from my cart in order to fix my order.",Epic 3:Cart and Session Management,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-37,Story,SNEST-4,"User Story 3.6: As a shopper, I have to be able to change item quantity in my cart in order to buy the right amount.",Epic 3:Cart and Session Management,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-36,Story,SNEST-4,"User Story 3.7: As a shopper, I have to be able to see the total price of my cart in order to know how much I’ll pay.",Epic 3:Cart and Session Management,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-39,Story,SNEST-4,"User Story 3.8: As a shopper, I have to be able to log in before checkout in order to buy my items.",Epic 3:Cart and Session Management,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-38,Story,SNEST-4,"User Story 3.9: As a shopper, I have to be able to see an error if my login fails in order to fix my details.",Epic 3:Cart and Session Management,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-40,Story,SNEST-4,"User Story 3.10: As a registered user, I have to be able to log out in order to keep my account safe.",Epic 3:Cart and Session Management,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-5,Epic,,Epic 4: User Interface and Animations,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,teal
SNEST-41,Story,SNEST-5,"User Story 4.1: As a shopper, I have to be able to see a loading animation in order to know the page is working",Epic 4: User Interface and Animations,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-42,Story,SNEST-5,"User Story 4.2: As a shopper, I want to see a loading animation, So that I know the page is working.",Epic 4: User Interface and Animations,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-43,Story,SNEST-5,"User Story 4.3: As a shopper, I have to be able to see a hover effect on cards in order to know I can click them.",Epic 4: User Interface and Animations,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-44,Story,SNEST-5,"User Story 4.4: As a shopper, I want to use pages on my tablet, So that I can shop easily.",Epic 4: User Interface and Animations,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-45,Story,SNEST-5,"User Story 4.5: As a shopper, I have to be able to see a hover effect on buttons in order to know they work.",Epic 4: User Interface and Animations,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-46,Story,SNEST-5,"User Story 4.6: As a shopper, I want to see smooth page changes, So that I enjoy using the site.",Epic 4: User Interface and Animations,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-47,Story,SNEST-5,"User Story 4.7: As a shopper, I have to be able to use pages on my computer in order to shop easily.",Epic 4: User Interface and Animations,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-48,Story,SNEST-5,"User Story 4.9: As a shopper, I have to be able to read text easily in order to use the site.",Epic 4: User Interface and Animations,Done,Lotfullah,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-49,Story,SNEST-5,"User Story 4.8: As a shopper, I want to see an animation when the cart updates, So that I know it worked.",Epic 4: User Interface and Animations,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-50,Story,SNEST-5,"User Story 4.10: As a shopper, I want to see a hover effect on links, So that I know they work.",Epic 4: User Interface and Animations,Done,Muhammad Hamza,SNEST Sprint 2,,5/22/2025,5/23/2025,5/24/2025,purple
SNEST-6,Epic,,Epic 5: Backend and Database Integration,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,yellow
SNEST-51,Story,SNEST-6,"User Story 5.1: As a shopper, I have to be able to see product categories in order to choose what to browse.",Epic 5: Backend and Database Integration,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-61,Story,SNEST-6,"User Story 5.2: As a shopper, I want to be able to see a list of products, So that I can find what I want.",Epic 5: Backend and Database Integration,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-52,Story,SNEST-6,"User Story 5.3: As a shopper, I have to be able to see product details in order to learn about items.",Epic 5: Backend and Database Integration,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-62,Story,SNEST-6,"User Story 5.4: As a shopper, I want to be able to sign up, So that I can create an account.",Epic 5: Backend and Database Integration,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-53,Story,SNEST-6,"User Story 5.5: As a shopper, I have to be able to log in in order to access my account.",Epic 5: Backend and Database Integration,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-63,Story,SNEST-6,"User Story 5.6: As a registered user, I want to be able to check my session, So that I can stay logged in.",Epic 5: Backend and Database Integration,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/26/2025,5/25/2025,purple
SNEST-54,Story,SNEST-6,"User Story 5.7:  As a admin, I have to be able to update product info in order to keep data current.",Epic 5: Backend and Database Integration,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-64,Story,SNEST-6,"User Story 5.8: As a shopper, I want to be able to save my cart, So that I can keep my items.",Epic 5: Backend and Database Integration,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-55,Story,SNEST-6,"User Story 5.9: As a shopper, I have to be able to see errors if APIs fail in order to know what went wrong.",Epic 5: Backend and Database Integration,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-65,Story,SNEST-6,"User Story 5.10: As an admin, I want to be able to backup the database, So that I can keep data safe.",Epic 5: Backend and Database Integration,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-7,Epic,,Epic 6: Deployment and Infrastructure,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,orange
SNEST-56,Story,SNEST-7,"User Story 6.1: As a developer, I have to be able to deploy the frontend on Vercel in order to make the site live.",Epic 6: Deployment and Infrastructure,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-57,Story,SNEST-7,"User Story 6.3: As a developer, I have to be able to connect the database on PlanetScale in order to store data.",Epic 6: Deployment and Infrastructure,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-58,Story,SNEST-7,"User Story 6.5: As a developer, I have to be able to test the frontend on Vercel in order to make sure it works.",Epic 6: Deployment and Infrastructure,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-59,Story,SNEST-7,"User Story 6.7: As a developer, I have to be able to set up auto-deployment in order to save time on updates.",Epic 6: Deployment and Infrastructure,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-60,Story,SNEST-7,"User Story 6.9: As a developer, I have to be able to make database queries fast in order to load data quickly.",Epic 6: Deployment and Infrastructure,Done,Lotfullah,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-66,Story,SNEST-7,"User Story 6.2: As a developer, I have to be able to deploy the backend on Render in order to run APIs.",Epic 6: Deployment and Infrastructure,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-67,Story,SNEST-7,"User Story 6.4: As a developer, I have to be able to set up environment variables in order to keep secrets safe.",Epic 6: Deployment and Infrastructure,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-68,Story,SNEST-7,"User Story 6.6: As a developer, I have to be able to test the backend on Render in order to make sure APIs work.",Epic 6: Deployment and Infrastructure,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-69,Story,SNEST-7,"User Story 6.8: As a developer, I have to be able to monitor site uptime in order to keep the site running.",Epic 6: Deployment and Infrastructure,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-70,Story,SNEST-7,"User Story 6.10: As a developer, I have to be able to roll back a deployment in order to fix issues fast.",Epic 6: Deployment and Infrastructure,Done,Muhammad Hamza,SNEST Sprint 3,,5/24/2025,5/25/2025,5/25/2025,purple
SNEST-8,Epic,,Epic 7: Checkout and Order Management,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,grey
SNEST-71,Story,SNEST-8,"User Story 7.1:  As a shopper, I have to be able to start checkout in order to buy my items.",Epic 7: Checkout and Order Management,Done,Lotfullah,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-77,Story,SNEST-8," User Story 7.2: As a shopper, I have to be able to add shipping details in order to get my items.",Epic 7: Checkout and Order Management,Done,Muhammad Hamza,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-72,Story,SNEST-8,"User Story 7.3: As a shopper, I have to be able to see my order summary in order to check before paying.",Epic 7: Checkout and Order Management,Done,Lotfullah,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-78,Story,SNEST-8,"User Story 7.4: As a shopper, I have to be able to save my order in order to complete my purchase.",Epic 7: Checkout and Order Management,Done,Muhammad Hamza,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-73,Story,SNEST-8,"User Story 7.5: As a shopper, I have to be able to clear my cart after ordering in order to start fresh.",Epic 7: Checkout and Order Management,Done,Lotfullah,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-79,Story,SNEST-8,"User Story 7.6: As a shopper, I have to be able to see order confirmation in order to know my order worked.",Epic 7: Checkout and Order Management,Done,Muhammad Hamza,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-74,Story,SNEST-8,"User Story 7.7: As a shopper, I have to be able to check stock before ordering in order to avoid issues.",Epic 7: Checkout and Order Management,Done,Lotfullah,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-80,Story,SNEST-8,"User Story 7.8: As a admin, I have to be able to update stock after an order in order to keep data correct.",Epic 7: Checkout and Order Management,Done,Muhammad Hamza,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-75,Story,SNEST-8,"User Story 7.9: As a shopper, I have to be able to see my past orders in order to track my purchases.",Epic 7: Checkout and Order Management,Done,Lotfullah,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
SNEST-81,Story,SNEST-8,"User Story 7.10: As a shopper, I have to be able to see errors during checkout in order to fix problems.",Epic 7: Checkout and Order Management,Done,Muhammad Hamza,SNEST Sprint 4,,5/25/2025,5/26/2025,5/26/2025,purple
